성별,나이그룹,호흡구분,열한구분
2,4.00,1,2
2,5.00,2,2
2,5.00,2,1
2,4.00,1,3
2,3.00,1,1
2,4.00,2,1
2,4.00,2,1
2,4.00,1,3
2,1.00,1,1
2,5.00,2,1
2,3.00,2,2
2,4.00,1,2
2,5.00,2,2
2,4.00,2,3
2,3.00,1,1
2,4.00,2,2
2,5.00,1,4
1,1.00,1,3
2,3.00,1,4
1,4.00,2,1
2,4.00,2,4
2,4.00,2,1
2,3.00,1,3
2,3.00,1,3
2,3.00,2,3
2,4.00,1,4
2,4.00,2,1
1,1.00,1,3
2,4.00,1,2
2,1.00,1,3
2,2.00,1,2
1,2.00,1,4
1,4.00,2,3
2,2.00,1,2
2,2.00,1,3
1,2.00,2,3
1,4.00,2,4
2,3.00,2,4
2,3.00,2,2
1,4.00,2,4
2,5.00,1,1
2,2.00,2,1
1,2.00,1,4
1,1.00,1,3
2,4.00,1,3
2,3.00,2,4
2,4.00,1,4
2,5.00,1,4
2,4.00,2,1
2,4.00,1,1
2,1.00,1,4
2,5.00,1,1
1,3.00,1,3
2,5.00,2,1
2,3.00,1,1
2,4.00,1,2
2,4.00,1,1
2,5.00,2,1
2,5.00,1,1
1,4.00,1,3
2,1.00,1,2
2,4.00,1,2
2,4.00,2,3
1,3.00,2,4
1,4.00,1,3
2,5.00,1,2
2,4.00,2,1
2,5.00,1,2
1,3.00,1,1
1,2.00,2,1
2,1.00,1,1
1,4.00,2,3
2,4.00,1,1
1,3.00,1,4
2,3.00,1,4
2,4.00,1,4
1,4.00,2,3
1,4.00,2,3
1,1.00,1,3
2,1.00,1,2
2,3.00,2,4
1,1.00,1,4
1,4.00,1,2
1,1.00,2,1
2,3.00,1,3
2,3.00,2,4
2,3.00,2,4
2,3.00,2,2
2,5.00,1,1
1,2.00,1,4
1,5.00,1,4
2,3.00,1,2
2,4.00,1,4
2,2.00,1,4
2,3.00,2,1
2,1.00,1,2
2,4.00,2,1
2,5.00,1,2
2,5.00,1,4
1,3.00,1,4
2,3.00,2,2
1,3.00,1,2
2,2.00,1,4
1,5.00,1,1
1,3.00,2,3
1,2.00,2,3
1,1.00,2,1
2,2.00,1,2
2,2.00,1,2
2,3.00,2,4
1,1.00,2,3
1,1.00,1,2
2,1.00,1,3
2,3.00,2,2
2,5.00,1,3
2,5.00,1,3
1,3.00,1,4
2,2.00,1,4
1,4.00,1,4
2,4.00,1,4
2,4.00,1,4
2,3.00,2,4
2,4.00,2,1
2,4.00,2,4
2,4.00,2,2
2,1.00,1,4
2,4.00,1,2
2,4.00,1,4
1,4.00,2,2
2,4.00,1,1
2,2.00,1,3
1,5.00,2,1
2,2.00,2,2
2,3.00,1,4
2,3.00,2,1
2,3.00,2,3
2,4.00,1,1
2,2.00,1,1
2,4.00,2,1
2,3.00,2,1
2,3.00,1,3
2,5.00,1,3
1,2.00,2,3
2,4.00,1,1
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
#NULL!,#NULL!,#NULL!,#NULL!
