"","wordlist","Freq"
"1","KC",1
"2","riss",1
"3","가능",1
"4","간호학",1
"5","감사",3
"6","개발",1
"7","개선",4
"8","개인학습",2
"9","개정",2
"10","개최",1
"11","개혁",1
"12","건물",4
"13","걸레",1
"14","검색",1
"15","겨울",2
"16","겨울철",1
"17","견학",1
"18","경우",3
"19","계절",1
"20","고등",1
"21","고생",1
"22","공간",24
"23","공기",1
"24","공기청정기",1
"25","공부",16
"26","과제",1
"27","관건",1
"28","관련",4
"29","교양",2
"30","교재",1
"31","교체",1
"32","구비",3
"33","구입",1
"34","국내외",1
"35","그룹",1
"36","근로",1
"37","기원",1
"38","기침",1
"39","깔끔",2
"40","나쁜거같아",1
"41","낙후",2
"42","난방",1
"43","내부",2
"44","내용",1
"45","냄새",2
"46","냉난방",1
"47","논문",1
"48","다양",1
"49","답답",1
"50","대청소",1
"51","대출",1
"52","대학",3
"53","대학원",1
"54","도서",5
"55","도움",1
"56","독서",2
"57","독서실",1
"58","동네",1
"59","든다이에",1
"60","리모델링",2
"61","마련",3
"62","마찬가지",1
"63","만족",2
"64","만큼",1
"65","말하",1
"66","먼지털이",1
"67","모델",1
"68","모임",1
"69","무료",1
"70","문제",1
"71","물론",1
"72","미비",1
"73","믾은",1
"74","바랍입니다",1
"75","발전",1
"76","배치",1
"77","배피",1
"78","베스트",1
"79","변경",1
"80","보고",1
"81","보단",1
"82","보유",1
"83","보충",1
"84","복사",2
"85","복사기",1
"86","부분",4
"87","부실",1
"88","부족",5
"89","분류",1
"90","분야",1
"91","분위기",1
"92","불가",1
"93","불편",1
"94","비치",1
"95","사람",2
"96","사실",1
"97","사용",1
"98","사이",1
"99","사이트",1
"100","생각",8
"101","서비스",1
"102","서적",3
"103","설립",1
"104","설치",1
"105","세법",1
"106","속상",1
"107","솔직",1
"108","쇼파",1
"109","수준",1
"110","수집",1
"111","스터디",2
"112","시간",1
"113","시낭",1
"114","시려워서",1
"115","시설",12
"116","신간도서",1
"117","신청",1
"118","신학",2
"119","신학기",1
"120","아늑",1
"121","아주",1
"122","아지트",1
"123","안락",1
"124","안생",1
"125","애들때문에",1
"126","애정",1
"127","얼굴",1
"128","에어컨",1
"129","여름",2
"130","여름철",1
"131","연계",1
"132","연구",1
"133","열람",2
"134","열람실",5
"135","열린공간이",1
"136","우리",4
"137","위치",1
"138","유익",1
"139","의자",1
"140","이상",1
"141","이용",9
"142","이용률",2
"143","인지도",1
"144","입소문",1
"145","있긴",2
"146","있눈",1
"147","자격증",1
"148","자료",7
"149","자리",1
"150","자유",2
"151","작아요ㅠ",1
"152","잘안되서",1
"153","장서",1
"154","재건축",2
"155","저번",1
"156","저조",1
"157","저희",3
"158","전공",4
"159","전반적",2
"160","전체",1
"161","정도",1
"162","정리",1
"163","제공",1
"164","제발",1
"165","제외",1
"166","제한",1
"167","조금더",2
"168","조성",1
"169","조성해",1
"170","종교",1
"171","종이",1
"172","좋겠",2
"173","좋겠습니",7
"174","주문",1
"175","주민",1
"176","주시",1
"177","중간",1
"178","지원",1
"179","참고",1
"180","책상",2
"181","책장",1
"182","체크",1
"183","초갓집",1
"184","최선",1
"185","최신",7
"186","최신자료",1
"187","취득",1
"188","카페",1
"189","컴퓨터",2
"190","쾌적",1
"191","타관",1
"192","터무니",1
"193","테이블",2
"194","특강",1
"195","편안",1
"196","평생",1
"197","푹신",1
"198","프로그램",1
"199","프린트",1
"200","필요",7
"201","하기",2
"202","하나",2
"203","하려",1
"204","하면",1
"205","학과별",1
"206","학구적",1
"207","학기",2
"208","학문",1
"209","학습",2
"210","학습공간",2
"211","한감",1
"212","한데",1
"213","항목",1
"214","해결",1
"215","해당",1
"216","해서",2
"217","해주",3
"218","해주시",2
"219","홍보",3
"220","확신",1
"221","확실",1
"222","확인",1
"223","환경",8
"224","환경개선",1
"225","흥미",1
